tienda_id,producto_id,categoria,producto,cantidad_vendida,precio_unitario,fecha_venta
T001,P001,Electronica,Smartphone,25,599.99,2024-01-15
T001,P002,Electronica,Laptop,12,899.99,2024-01-16
T001,P003,Ropa,Camiseta,45,29.99,2024-01-17
T001,P004,Hogar,Aspiradora,8,199.99,2024-01-18
T001,P005,Electronica,Auriculares,35,79.99,2024-01-19
T002,P001,Electronica,Smartphone,18,599.99,2024-01-15
T002,P002,Electronica,Laptop,9,899.99,2024-01-16
T002,P003,Ropa,Camiseta,32,29.99,2024-01-17
T002,P006,Hogar,Microondas,15,149.99,2024-01-18
T002,P007,Ropa,Pantalon,28,49.99,2024-01-19
T003,P001,Electronica,Smartphone,30,599.99,2024-01-15
T003,P008,Electronica,Tablet,20,299.99,2024-01-16
T003,P003,Ropa,Camiseta,55,29.99,2024-01-17
T003,P009,Hogar,Cafetera,12,89.99,2024-01-18
T003,P010,Ropa,Zapatos,22,79.99,2024-01-19
T004,P001,Electronica,Smartphone,15,599.99,2024-01-15
T004,P002,Electronica,Laptop,6,899.99,2024-01-16
T004,P011,Ropa,Chaqueta,18,99.99,2024-01-17
T004,P004,Hogar,Aspiradora,5,199.99,2024-01-18
T004,P012,Electronica,Smartwatch,25,249.99,2024-01-19
T005,P013,Electronica,Camara,8,449.99,2024-01-15
T005,P014,Ropa,Vestido,30,69.99,2024-01-16
T005,P015,Hogar,Licuadora,14,79.99,2024-01-17
T005,P003,Ropa,Camiseta,40,29.99,2024-01-18
T005,P016,Electronica,Parlante,22,129.99,2024-01-19
T006,P001,Electronica,Smartphone,12,599.99,2024-01-15
T006,P017,Hogar,Plancha,20,59.99,2024-01-16
T006,P018,Ropa,Falda,25,39.99,2024-01-17
T006,P019,Electronica,Mouse,35,25.99,2024-01-18
T006,P020,Hogar,Tostadora,10,49.99,2024-01-19
T007,P001,Electronica,Smartphone,22,599.99,2024-01-15
T007,P002,Electronica,Laptop,14,899.99,2024-01-16
T007,P021,Ropa,Sueter,28,59.99,2024-01-17
T007,P022,Hogar,Ventilador,16,89.99,2024-01-18
T007,P023,Electronica,Teclado,30,45.99,2024-01-19
T008,P024,Electronica,Monitor,10,299.99,2024-01-15
T008,P025,Ropa,Shorts,35,34.99,2024-01-16
T008,P026,Hogar,Batidora,12,69.99,2024-01-17
T008,P003,Ropa,Camiseta,48,29.99,2024-01-18
T008,P027,Electronica,Cable USB,50,15.99,2024-01-19
T009,P001,Electronica,Smartphone,8,599.99,2024-01-15
T009,P028,Hogar,Freidora,6,179.99,2024-01-16
T009,P029,Ropa,Calcetines,60,12.99,2024-01-17
T009,P030,Electronica,Cargador,40,29.99,2024-01-18
T009,P031,Hogar,Exprimidor,8,39.99,2024-01-19
T010,P032,Electronica,Webcam,15,89.99,2024-01-15
T010,P033,Ropa,Gorra,25,24.99,2024-01-16
T010,P034,Hogar,Termo,30,34.99,2024-01-17
T010,P035,Electronica,Powerbank,28,49.99,2024-01-18
T010,P036,Ropa,Bufanda,20,19.99,2024-01-19
